Estabelecimento,Região de Saúde,Ano de Competência,Mês de Competência,Mês Nome,Asma,DPOC,Pré-natal,Puericultura,Puerpério (até 42 dias),Rast. risco cardiovascular,Reabilitação,Saúde mental,Saúde sexual e reprodutiva,Tabagismo,Usuário de álcool,Usuário de outras drogas
UBS 9 Recanto das Emas,Região Sudoeste,2019,01,Janeiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,02,Fevereiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,03,Março,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,04,Abril,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,05,Maio,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,06,Junho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,07,Julho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,08,Agosto,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,09,Setembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,10,Outubro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,11,Novembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2019,12,Dezembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,01,Janeiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,02,Fevereiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,03,Março,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,04,Abril,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,05,Maio,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,06,Junho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,07,Julho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,08,Agosto,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,09,Setembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,10,Outubro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,11,Novembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2020,12,Dezembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,01,Janeiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,02,Fevereiro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,03,Março,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,04,Abril,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,05,Maio,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,06,Junho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,07,Julho,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,08,Agosto,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,09,Setembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,10,Outubro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,11,Novembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2021,12,Dezembro,0,0,27,0,0,0,0,4,1,0,0,0
UBS 9 Recanto das Emas,Região Sudoeste,2022,01,Janeiro,0,0,27,0,0,0,0,4,1,0,0,0
